,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 20:04:58,23.4375,29.6875,26.5625,50,52,55,2494.3418,2494.3418,9.393712,6.5045023,0.0117649147,99.773674,51.4521141,4.055271,3.82637024,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:59,23.4375,32.03125,27.734375,54,50,55,2494.34253,2494.34253,9.613477,6.66511154,0.022049645,99.7737045,51.3804359,4.04962158,3.83201981,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:00,14.84375,39.0625,26.953125,50,53,54,2494.34229,2494.34229,9.449598,6.54915571,0.0139927808,99.77369,51.46455,4.05625153,3.82538986,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:01,14.84375,41.40625,28.125,49,52,54,2494.3418,2494.3418,9.644713,6.697498,0.0173498448,99.773674,51.46455,4.05625153,3.82538986,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:02,25.78125,28.125,26.953125,50,53,54,2494.342,2494.342,9.470164,6.564912,0.0201728251,99.77368,51.43319,4.0537796,3.82786179,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:03,24.21875,32.03125,28.125,49,53,54,2494.34253,2494.34253,9.61732,6.67311049,0.0222174544,99.7737045,51.4012451,4.051262,3.83037949,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:04,17.1875,38.28125,27.734375,50,53,54,2494.34155,2494.34155,9.467854,6.547262,0.0200812854,99.77367,51.3916664,4.05050659,3.8311348,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:05,21.09375,35.9375,28.515625,50,53,54,2494.34277,2494.34277,9.523758,6.58564,0.0215766523,99.77371,51.38324,4.049843,3.83179855,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:06,21.875,34.375,28.125,51,54,55,2494.34131,2494.34131,9.488416,6.57863951,0.0205237251,99.77365,51.4419,4.05446625,3.82717514,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:07,25.78125,33.59375,29.6875,54,51,56,2494.343,2494.343,9.580326,6.625845,0.0225075111,99.77372,51.38745,4.05017471,3.83146667,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:08,17.96875,35.9375,26.953125,51,54,54,2494.34229,2494.34229,9.411781,6.50051546,0.0203253161,99.77369,51.3847427,4.049961,3.8316803,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:09,22.65625,32.8125,27.734375,54,50,56,2494.34131,2494.34131,9.584062,6.634571,0.0215919446,99.77365,51.3894844,4.050335,3.83130646,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:10,29.6875,23.4375,26.5625,56,50,57,2494.34326,2494.34326,9.367175,6.4707737,0.0138401994,99.773735,51.4747658,4.05705643,3.824585,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:11,22.65625,34.375,28.515625,55,50,56,2494.342,2494.342,9.538109,6.608859,0.02128671,99.77368,51.3882256,4.05023575,3.83140564,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:12,21.09375,32.8125,26.953125,52,54,55,2494.34229,2494.34229,9.423456,6.51314163,0.0205847938,99.77369,51.3861923,4.05007553,3.83156586,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:13,25,28.90625,26.953125,54,50,56,2494.342,2494.342,9.574777,6.63280058,0.0213782638,99.77368,51.3835335,4.04986572,3.83177567,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:14,26.5625,27.34375,26.953125,56,50,57,2494.3418,2494.3418,9.481378,6.56379,0.0201422349,99.773674,51.38857,4.05026245,3.831379,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:15,21.875,33.59375,27.734375,57,50,57,2494.34277,2494.34277,9.544844,6.603492,0.0221412424,99.77371,51.3889542,4.050293,3.83134842,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:16,15.625,39.0625,27.34375,55,51,56,2494.34229,2494.34229,9.372257,6.463643,0.020432258,99.77369,51.38005,4.049591,3.83205032,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:17,22.65625,31.25,26.953125,51,53,54,2494.342,2494.342,9.458843,6.50120354,0.021423988,99.77368,51.398922,4.051079,3.83056259,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
