,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 19:26:22,25.78125,29.6875,27.734375,55,53,57,2494.342,2494.342,9.629664,6.67529345,0.0224006735,99.77368,51.8759041,4.08867264,3.79296875,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:23,19.53125,34.375,26.953125,57,52,57,2494.34229,2494.34229,9.523005,6.60401773,0.0203253124,99.77369,51.887085,4.089554,3.79208755,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:24,25.78125,29.6875,27.734375,55,53,57,2494.34229,2494.34229,9.632811,6.68559551,0.02192764,99.7737,51.89546,4.090214,3.79142761,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:25,22.65625,32.8125,27.734375,55,52,56,2494.34229,2494.34229,9.492971,6.564232,0.0207069218,99.77369,51.8815155,4.089115,3.79252625,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:26,26.5625,27.34375,26.953125,56,52,57,2494.34229,2494.34229,9.616611,6.65867567,0.0214392841,99.77369,51.8881,4.089634,3.79200745,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:27,20.3125,34.375,27.34375,52,54,57,2494.34229,2494.34229,9.446249,6.53048372,0.0204017051,99.7737,51.8827744,4.08921432,3.792427,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:28,24.21875,31.25,27.734375,52,53,56,2494.342,2494.342,9.537568,6.60808,0.0128329713,99.77368,51.9627838,4.09552,3.78612137,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:29,23.4375,30.46875,26.953125,52,53,56,2494.342,2494.342,9.399246,6.4668355,0.0237283427,99.77368,51.9698,4.096073,3.78556824,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:30,20.3125,32.8125,26.5625,53,53,56,2494.34277,2494.34277,9.523347,6.59249735,0.0131077217,99.77371,51.9542122,4.094845,3.78679657,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:31,21.09375,32.03125,26.5625,53,52,56,2494.34155,2494.34155,9.39725,6.49877262,0.011810651,99.77366,52.037365,4.10139847,3.780243,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
